Spelnamn,Rating,#Reviews,Rabatt%,Pris,OrdinariePris,Utgivningsår,Win,Lin,OSX,Tid
Cute but Deadly,85%,"10,104",N/A,"35,09€",N/A,,1,0,0,27/11/2024
"Warhammer 40,000: Boltgun - Forges of Corruption Edition",91%,"12,493",N/A,"24,90€",N/A,,1,0,0,27/11/2024
Farming Simulator 22 - Platinum Edition,92%,"59,590",N/A,"29,98€",N/A,,1,0,1,27/11/2024
CarX Drift Racing Online - Ultimate,95%,"74,371",N/A,"29,14€",N/A,,1,0,0,27/11/2024
Cats and Robots Bundle,90%,"6,749",N/A,"16,43€",N/A,,1,1,1,27/11/2024
Tainted Grail: The Fall of Avalon,83%,"2,923",-25%,"21,74€","28,99€","30 Mar, 2023",1,0,0,27/11/2024
Bus Simulator 21 Next Stop,73%,"3,316",-50%,"17,49€","34,99€","7 Sep, 2021",1,0,0,27/11/2024
Dave and Friends,96%,"180,552",N/A,"48,13€",N/A,,1,0,0,27/11/2024
art of rally,93%,"4,394",-60%,"9,99€","24,99€","23 Sep, 2020",1,1,1,27/11/2024
Half-Life 1 Anthology,95%,"139,437",N/A,"12,72€",N/A,,1,1,1,27/11/2024
SteamWorld Build Deluxe Edition,79%,"1,129",-50%,"14,86€","29,73€",,1,0,0,27/11/2024
Total War: WARHAMMER III – Thrones of Decay,89%,"2,749",N/A,"22,92€",N/A,,1,1,1,27/11/2024
Eventide Collection,87%,965,N/A,"36,84€",N/A,,1,1,1,27/11/2024
Unity of Command II + DLC,81%,"2,076",N/A,"109,34€",N/A,,1,0,1,27/11/2024
Monkey Island Collection,92%,"18,012",N/A,"51,99€",N/A,,1,0,0,27/11/2024
Millennia: Expansion Pass,75%,62,N/A,"24,88€",N/A,,1,0,0,27/11/2024
HoT Potatoes,96%,"105,751",N/A,"10,48€",N/A,,1,0,0,27/11/2024
ICBM: Escalation,88%,302,-10%,"26,09€","28,99€","21 Nov, 2024",1,0,0,27/11/2024
Master of Magic Classic Complete,95%,709,N/A,"11,03€",N/A,,1,0,0,27/11/2024
